,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
18,마몽드 플로랄하이드로 에멀젼 기획 150ml+25ml,150.0,18000.0,120.0,"정제수,프로판다이올,글리세린,스쿠알란,부틸렌글라이콜다이카프릴레이트/다이카프레이트,1&2-헥산다이올,부틸렌글라이콜,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,다이메티콘,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,폴리솔베이트20,잔탄검,카프릴릴글라이콜,수선화비늘줄기추출물,글리세릴카프릴레이트,에탄올,트로메타민,향료,다이소듐이디티에이,에틸헥실글리세린,하이드로제네이티드레시틴,솔비탄아이소스테아레이트,폴리솔베이트60,하이알루로닉애씨드,리날룰,수크로오스,리모넨,부틸페닐메틸프로피오날,소듐메틸스테아로일타우레이트,시트로넬올,헥실신남알,녹차추출물,로즈힙열매추출물,토코페롤,인돌아세틱애씨드",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014101004ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141010&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
19,싸이닉 더 심플 데일리 로션 145ml,145.0,18000.0,124.14,"정제수,프로판다이올,펜틸렌글라이콜,비닐다이메티콘,글리세린,세틸에칠헥사노에이트,알바수련꽃추출물,알로에베라잎즙,부틸렌글라이콜,마데카소사이드,세테아릴올리베이트,카보머,솔비탄올리베이트,트로메타민,소듐하이알루로네이트",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0012/A00000012126813ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000121268&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
20,정샘물 키즈 에센셜 페이셜&바디 로션 280ml,280.0,35000.0,125.0,"정제수,부틸렌글라이콜,시어버터,마카다미아씨오일,글리세린,코코넛야자오일,글리세릴스테아레이트에스이,이소헥사데칸,펜틸렌글라이콜,메칠프로판디올,비닐디메치콘,백미꽃추출물,접시꽃추출물,콩싹추출물,쌀배아추출물,녹두싹추출물,참깨싹추출물,밀싹추출물,페닐트리메치콘,1&2-헥산다이올,디메치콘올,폴리메칠실세스퀴옥산,소르비탄스테아레이트,올레익/리놀레익/리놀레닉폴리글리세라이드,카프릴릴글라이콜,세테아릴올리베이트,소르비탄올리베이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,하이드로제네이티드레시틴,트로메타민,하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리머,시트릭애씨드,소듐파이테이트,엑토인,소르비탄이소스테아레이트,베타-글루칸,스테아릭애씨드,토코페롤,에칠헥실글리세린,세라마이드엔피,콜레스테롤,피토스핑고신,세라마이드엔지,세라마이드엔에스,세라마이드에이피,세라마이드에이에스,세라마이드이오피,세테아릴알코올,향료",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018315302ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183153&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
21,디오디너리 비타민C 서스펜션 23% + HA 스피어스 2% 30ml,30.0,9700.0,323.33,"아스코빅애씨드,스쿠알란,아이소데실네오펜타노에이트,도데칸,에틸렌/프로필렌/스타이렌코폴리머,에틸헥실팔미테이트,실리카다이메틸실릴레이트,소듐하이알루로네이트,글루코만난,코코-카프릴레이트/카프레이트,부틸렌/에틸렌/스타이렌코폴리머,아크릴레이트/에틸헥실아크릴레이트크로스폴리머,트라이하이드록시스테아린,비에이치티",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015862102ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158621&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
22,프리메라 오가니언스에멀젼 150ml,150.0,33000.0,220.0,"정제수,펜타에리스리틸테트라에칠헥사노에이트,프로판디올,부틸렌글라이콜,글리세린,시어버터,세틸에칠헥사노에이트,디이소스테아릴말레이트,1&2-헥산다이올,디메치콘,하이드로제네이티드폴리데센,하이드로제네이티드폴리,사이클로펜타실록산,하이드로제네이티드식물성오일,스테아릭애씨드,글리세릴스테아레이트,아라키딜알코올,피씨에이디메치콘,피이지-100스테아레이트,실리카,베헤닐알코올,향료,아라키딜글루코사이드,디메치콘올,카보머,리모넨,트로메타민,리날룰,카카오추출물,덱스트린,디소듐이디티에이,올리브오일,카카오씨드버터,글루코오스,쑥추출물,어성초추출물,쌀추출물,참마뿌리추출물,콩싹추출물,소듐벤조에이트",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013800306ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000138003&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
23,피지오겔 DMT 포맨 플루이드 100ml,100.0,35000.0,350.0,"정제수,글리세린,부틸렌글라이콜,카프릴릴메티콘,트레할로오스,1&2-헥산다이올,하이드로제네이티드폴리,다이페닐실록시페닐트라이메티콘,하이드록시에틸우레아,하이드로제네이티드레시틴,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,다이메티콘/페닐비닐다이메티콘크로스폴리머,트로메타민,나이아신아마이드,판테놀,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,트라이소듐이디티에이,베타-글루칸,카프릴릭/카프릭트라이글리세라이드,스쿠알란,병풀추출물,하이드롤라이즈드소듐하이알루로네이트,다이포타슘글리시리제이트,세라마이드엔피,카퍼트라이펩타이드-1",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016918202ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000169182&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
24,차앤박 옴므랩 리차징 로션 100ml,100.0,29000.0,290.0,"정제수,프로판다이올,부틸렌글라이콜,글리세린,스쿠알란,부틸렌글라이콜다이카프릴레이트/다이카프레이트,나이아신아마이드,1&2-헥산다이올,글리세릴스테아레이트,피이지-100스테아레이트,메도우폼씨오일,시어버터,다이메티콘,세테아릴알코올,스테아레스-21,사이클로펜타실록세인,소듐카보머,알란토인,토코페릴아세테이트,잔탄검,오렌지오일,C14-22알코올,베르가모트오일,다이메티콘/비닐다이메티콘크로스폴리머,마카다미아씨오일,트라이에틸헥사노인,왕귤껍질오일,센티드제라늄꽃오일,아라키딜글루코사이드,하이드로제네이티드레시틴,트라이소듐이디티에이,필리핀오렌지껍질오일,라반딘오일,일랑일랑꽃오일,아틀라스시다나무껍질오일,징크피씨에이,세드랏껍질오일,스테아릭애씨드,쇠비름추출물,카보머,세라마이드엔피,콜레스테롤,메틸프로판다이올,트로메타민,스피어민트잎오일,육계전초오일,타우린,커피콩추출물,글리시레티닉애씨드,리모넨,리날룰,시트로넬올,제라니올",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016439801ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164398&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
25,피지오겔 DMT 로션 100ml 기획,150.0,28500.0,190.0,"정제수,카프릴릭/카프릭트라이글리세라이드,글리세린,펜틸렌글라이콜,코코넛야자오일,오일팜오일,시어버터,올리브오일,하이드로제네이티드레시틴,하이드록시에틸셀룰로오스,카프릴릴글라이콜,잔탄검,스쿠알란,카보머,소듐카보머,세라마이드엔피.",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017332202ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173322&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
26,싸이닉 더 심플 릴리프 수분크림 더블 기획,160.0,18000.0,112.5,"정제수,글리세린,부틸렌글라이콜,카프릴릭/카프릭트라이글리세라이드,1&2-헥산다이올,카보머,알지닌,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,암모늄폴리아크릴로일다이메틸타우레이트,에틸헥실글리세린,잔탄검,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,다이소듐이디티에이,알란토인,판테놀,솔비탄아이소스테아레이트,병풀추출물,알바수련꽃추출물,다이프로필렌글라이콜,소듐하이알루로네이트,사이클로덱스트린,마데카소사이드,보검선인장줄기추출물",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015391310ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153913&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
27,마몽드 플로랄하이드로 에멀젼 150ml,150.0,18000.0,120.0,"정제수,프로판다이올,글리세린,스쿠알란,부틸렌글라이콜다이카프릴레이트/다이카프레이트,1&2-헥산다이올,부틸렌글라이콜,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,다이메티콘,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,폴리솔베이트20,잔탄검,카프릴릴글라이콜,수선화비늘줄기추출물,글리세릴카프릴레이트,에탄올,트로메타민,향료,다이소듐이디티에이,에틸헥실글리세린,하이드로제네이티드레시틴,솔비탄아이소스테아레이트,폴리솔베이트60,하이알루로닉애씨드,리날룰,수크로오스,리모넨,부틸페닐메틸프로피오날,소듐메틸스테아로일타우레이트,시트로넬올,헥실신남알,녹차추출물,로즈힙열매추출물,토코페롤,인돌아세틱애씨드",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011943801ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000119438&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
