,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
75,시드물 마다가스카르 리얼 수분크림 80g,80.0,23800.0,297.5,"병풀추출물,글리세린,하이드로제네이티드레시틴,부틸렌글라이콜,황금추출물,모란뿌리추출물,카프릴릭/카프릭트라이글리세라이드,헵틸운데실레네이트,폴리글루타믹애씨드,소듐하이알루로네이트,에리스리톨,솔비톨,마데카소사이드,아시아티코사이드,마데카식애씨드,아시아틱애씨드,아세틸헥사펩타이드-8,베타-글루칸,판테놀,로우스위트블루베리추출물,석류추출물,무화과추출물,뽕나무열매추출물,은행추출물,하이알루로닉애씨드,하이드록시에틸우레아,알란토인,다이포타슘글리시리제이트,토코페롤,1&2-헥산다이올",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017524002ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175240&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
76,CKD 레티노콜라겐 저분자 300 크림 40ml 기획,40.0,38000.0,950.0,"수용성콜라겐,하이드로제네이티드폴리데센,카프릴릭/카프릭트라이글리세라이드,글리세린,펜타에리스리틸테트라에틸헥사노에이트,사이클로헥사실록세인,글리세릴스테아레이트,세테아릴알코올,나이아신아마이드,정제수,폴리글리세릴-6다이스테아레이트,하이드로제네이티드레시틴,폴리글리세릴-10라우레이트,글리세릴폴리메타크릴레이트,황벽나무껍질추출물,향기제비꽃잎추출물,소듐하이알루로네이트,팔마로사오일,베르가모트오일,올리브오일,센티드제라늄꽃오일,라벤더오일,캐모마일꽃오일,연필향나무오일,오렌지껍질오일,로즈우드오일,화이트참파카꽃오일,멕시칸주니퍼오일,오렌지꽃오일,판테놀,하이드롤라이즈드콜라겐,다이프로필렌글라이콜,비즈왁스,소듐스테아로일글루타메이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,알라닌,페닐알라닌,호호바에스터,다이카프릴릴에터,세틸알코올,라이신,폴리글리세릴-3비즈왁스,부틸렌글라이콜,잔탄검,알지닌,아데노신,다이소듐이디티에이,발린,트레오닌,베헤닐알코올,솔비탄아이소스테아레이트,소듐라우레이트,타이로신,글리세릴스테아레이트에스이,레틴알,라우릭애씨드,솔비탄라우레이트,세라마이드엔피,콜레스테롤,글라이신,수크로오스다이스테아레이트,세린,글루타믹애씨드,하이드록시에틸셀룰로오스,프롤린,아세틸다이펩타이드-1세틸에스터,아스파틱애씨드,류신,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,아이소류신,히스티딘,하이알루로닉애씨드,엘라스틴,포스포리피드,메티오닌,카퍼트라이펩타이드-1,트라이펩타이드-1,아세틸헥사펩타이드-8,헥사펩타이드-9,팔미토일펜타펩타이드-4,팔미토일테트라펩타이드-7,팔미토일트라이펩타이드-1,노나펩타이드-1,시스테인,1&2-헥산다이올,하이드록시아세토페논,에틸헥실글리세린,카프릴릴글라이콜,제라니올,리모넨,리날룰,시트로넬올,시트랄",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015378113ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153781&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
77,리쥬란 더마 힐러 모이스처 크림 60g,60.0,45000.0,750.0,"정제수,글리세린,부틸렌글라이콜,카프릴릭/카프릭트라이글리세라이드,나이아신아마이드,판테놀,스쿠알란,알로에베라잎즙,글리세릴스테아레이트,시어버터,하이드로제네이티드올리브오일스테아릴에스터,오이열매추출물,귀리커넬추출물,카렌듈라추출물,세테아릴알코올,라벤더꽃수,카보머,트로메타민,다이프로필렌글라이콜,카프릴릴글라이콜,에틸헥실올리베이트,하드록시아세토페논,하이드롤라이즈드디엔에이,소듐아크릴레이트코폴리머,세라마이드엔피,1&2-헥산다이올,폴리글리세릴-4올리에이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,하이드롤라이즈드하이알루로닉애씨드,다이소듐이디티에이,아데노신,라미나리아오크롤레우카추출물,콜레스테롤,하이드로제네이티드에틸헥실올리베이트,팔미틱애씨드,하이드로제네이티드올리브오일불검화물,다이포타슘글리시리제이트",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017520305ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175203&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
78,에스네이처 아쿠아 스쿠알란 수분크림 60ml,60.0,24000.0,400.0,"정제수,스쿠알란,글리세린,1&2-헥산다이올,베타인,판테놀,소듐하이알루로네이트,하이드롤라이즈드콜라겐,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,아세틸헥사펩타이드-8,아데노신,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알지닌,알란토인,자일리틸글루코사이드,안하이드로자일리톨,자일리톨,글루코오스,부틸렌글라이콜,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,카프릴릴글라이콜",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015204626ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152046&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
79,라운드랩 포 맨 자작나무 수분 크림 75ml,75.0,26000.0,346.67,"정제수,부틸렌글라이콜,다이프로필렌글라이콜,글리세린,페닐트라이메티콘,1&2-헥산다이올,자작나무수액,다이카프릴릴카보네이트,폴리글리세릴-3메틸글루코오스다이스테아레이트,글리세릴글루코사이드,다이포타슘글리시리제이트,알란토인,쇠비름추출물,소듐하이알루로네이트,하이알루로닉애씨드,아스코빅애씨드,포도추출물,감나무잎추출물,호장근뿌리추출물,잇꽃꽃추출물,커피콩추출물,녹차추출물,초피나무열매추출물,밤껍질추출물,베타인,토코페롤.카프릴릴메티콘.에틸헥실글리세린.암모늄아크릴로일다이메틸타우레이트/브이피코폴리머.하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,하이드로제네이티드레시틴.C30-45알킬세테아릴다이메티콘크로스폴리머.소듐폴리아크릴레이트.폴리쿼터늄-51.솔비탄아이소스테아레이트.덱스트린.글리세릴카프릴레이트.치자추출물.C12-16알코올.팔미틱애씨드,다이소듐이디티에이",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016349617ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163496&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
80,가히 한겹 스킨 30ml,30.0,42000.0,1400.0,"정제수,글리세린,부틸렌글라이콜,다이부틸아디페이트,부틸옥틸살리실레이트,비스-에칠헥실옥시페놀메톡시페닐트리아진,디에칠아미노하이드록시벤조일헥실벤조에이트,에칠헥실트리아존,페네틸벤조에이트,폴리실리콘-15,티타늄디옥사이드,나이아신아마이드,실리카,하이드로제네이티드폴리데센,펜틸렌글라이콜,1&2-헥산다이올,메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,바실러스발효물,타라열매추출물,물푸레나무추출물,쌀배아오일,코토니추출물,파파야열매추출물,매실추출물,사과추출물,포도추출물,오미자추출물,대나무목초액,지치뿌리추출물,울금뿌리추출물,삼백초추출물,쑥잎추출물,포타슘세틸포스페이트,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,아이소도데케인,옥틸도데칸올,카프릴릭/카프릭트라이글리세라이드,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,데실글루코사이드,트로메타민,폴리글리세릴-4아이소스테아레이트,하이드로제네이티드C6-20폴리올레핀,아이소프로필티타늄트라이아이소스테아레이트,알루미늄하이드록사이드,글리세릴글루코사이드,에틸헥실글리세린,메틸프로판다이올,아데노신,트라이소듐에틸렌다이아민다이석시네이트,에이치디아이/트라이메틸올헥실락톤크로스폴리머,베타-글루칸,토코페롤,세테아릴알코올,잔탄검,향료,황색산화철,치자추출물,적색산화철,흑색산화철",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017540307ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175403&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
81,피지오겔 레드수딩 AI 라이트 크림 50ml,50.0,32000.0,640.0,"정제수,펜틸렌글라이콜,글리세린,카프릴릭/카프릭트라이글리세라이드,나이아신아마이드,시어버터,베헤닐알코올,판테놀,스쿠알란,세틸알코올,하이드로제네이티드레시틴,베헤닉애씨드,아이소스테아릴아이소스테아레이트,카프릴릴글라이콜,폴리아크릴레이트크로스폴리머-6,팔미타마이드엠이에이,소듐카보머,아세타마이드엠이에이,소듐하이알루로네이트,판토락톤,사코신,T-부틸알코올,세라마이드엔피",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015426204ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154262&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
82,차앤박 히알루로닉 더마텐션 크림,112.0,42000.0,375.0,"정제수,글리세린,사이클로헥사실록세인,하이드로제네이티드폴리데센,1&2-헥산다이올,나이아신아마이드,다이프로필렌글라이콜,마카다미아씨오일,비스-피이지-15메틸에터다이메티콘,트라이에틸헥사노인,스테아릴알코올,글리세릴스테아레이트,피이지-40스테아레이트,펜타에리스리틸테트라에틸헥사노에이트,푸른연꽃수,세테아릴알코올,다이메티콘,솔비탄스테아레이트,판테놀,하이드록시에틸피페라진에탄설포닉애씨드,우레아,스테아릭애씨드,트로메타민,소듐하이알루로네이트,하이알루로닉애씨드,피이지-100스테아레이트,세테아릴올리베이트,솔비탄올리베이트,하이드로제네이티드레시틴,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,다이메티콘/비닐다이메티콘크로스폴리머,카보머,글라이코실트레할로오스,하이드로제네이티드스타치하이드롤리세이트,잔탄검,아데노신,향료,트라이소듐이디티에이,프로판다이올,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드글라이코사미노글리칸,벤질글라이콜,하이드롤라이즈드하이알루로닉애씨드,하이드록시프로필트라이모늄하이알루로네이트,소듐아세틸레이티드하이알루로네이트,에틸헥실글리세린,하이드롤라이즈드콜라겐,라즈베리케톤,아세틸테트라펩타이드-9",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016063704ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160637&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
83,엠브리올리스 레 크렘 센시티브 100ml,100.0,37000.0,370.0,"정제수,카프릴릭/카프릭트라이글리세라이드,글리세린,옥틸도데칸올,세테아릴알코올,시어버터,세라알바,세틸포스페이트,1&2-헥산다이올,카프릴릴글라이콜,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,소듐하이드록사이드,프로필렌글라이콜,토코페롤,트로폴론,돌콩오일,하이드롤라이즈드콩단백질,알로에베라잎추출물",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016462801ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164628&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
84,더파이 히알루로닉 수분 장벽 크림 80ml,80.0,26000.0,325.0,"정제수,부틸렌글라이콜,글리세린,1&2-헥산다이올,스쿠알란,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,알지닌,소듐하이알루로네이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,시어버터,세틸에틸헥사노에이트,세테아릴알코올,팔미틱애씨드,카보머,에틸헥실글리세린,판테놀,세테아릴글루코사이드,스테아릭애씨드,베타인,카프릴릭/카프릭트라이글리세라이드,잔탄검,알란토인,하이드로제네이티드레시틴,미리스틱애씨드,글루코오스,아라키딕애씨드,세라마이드엔피,콜레스테롤,마데카소사이드,아시아티코사이드,라우릭애씨드,하이드록시프로필트라이모늄하이알루로네이트,아시아틱애씨드,마데카식애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016376108ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163761&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
