,피부고민,정도,성분명,성분 설명
40,안티에이징,훌륭함,그롬웰,이 식물의 뿌리에는 항산화와 피부 진정 효과가 있다고 여겨진다.
41,안티에이징,훌륭함,글라이코프로테인,"글라이코프로테인은 피부 표면에 자연적으로 존재하는 펩타이드의 일종으로, 다른 성분과 함께 작용하여 피부 장벽의 강도를 강화한다."
42,안티에이징,훌륭함,글라이콜릭애씨드,"글라이콜릭애씨드는 가장 많이 연구된 알파-하이드록시산(Alpha hydroxy acid, AHA)이며 피부 표면을 재생하 수분 공급을 상당히 개선하는 데 도움을 준다."
43,안티에이징,훌륭함,글루코노락톤,"이 성분은 폴리하이드록시산(Polyhydroxy Acid, PHA)의 일종으로, AHA와 화학적 및 기능적으로 유사하다."
44,안티에이징,훌륭함,글루코실세라마이드,글루코실세라마이드는 피부 표피층의 건강을 담당한다.
45,안티에이징,훌륭함,글루코실헤스페리딘,"글루코실헤스페리딘은 수용성 형태의 헤스페리딘으로, 헤스페리딘은 다양한 감귤류 식물 및 달맞이꽃오일에서 발견되는 플라보노이드이다. 이 성분은 항산화제로서의 잠재력을 가진다."
46,안티에이징,훌륭함,글루타티온,"글루타티온은 피부에서 자연적으로 발생하는 성분으로, 강력한 항산화 효과가 있으며 국소 제품에서 피부를 회복시키고 칙칙함을 없애는 성분으로 사용된다."
47,안티에이징,훌륭함,글리세린,"피부에 자연적으로 발생하는 물질로, 수분을 유지하는 데 도움을 준다. 피부 관리 제품에서 건조함을 막아주는 데 사용된다."
48,안티에이징,훌륭함,글리세릴아스코베이트,"안정화된 형태의 비타민 C로, 보습 효과가 있으며 피부를 매끄럽게 하고 노화 방지 효과를 가진다."
49,안티에이징,훌륭함,글리시레티닉애씨드,감초뿌리추출물의 성분 중 하나이다. 
50,안티에이징,훌륭함,글리시레틱애씨드,피부 진정 특성이 있는 감초추출물이다. 
51,안티에이징,훌륭함,까무까무열매추출물,작은 베리로 완전히 익었을 때 비타민 C 수치가 높다. 강력한 항산화 효과가 있다.
