,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
66,보닌 퓨어 미라클 힐링 크림 100ml,175.0,32000.0,182.86,"정제수,월계수잎추출물,글리세린,프로판디올,스쿠알란,카프릴릭/카프릭트리글리세라이드,판테놀,1&2-헥산다이올,암모늄아크릴로일디메칠타우레이트/브이피코폴리머,아르간트리커넬오일,메칠글루코오스세스퀴스테아레이트,글리세릴스테아레이트,베타-글루칸,향료,시트로넬올,제라니올,리모넨,리날룰",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011141002ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000111410&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
67,입큰맨 파워액티브 올인원 제로,170.0,25000.0,147.06,"정제수,글리세린,부틸렌글라이콜,1&2-헥산다이올,나이아신아마이드,카프릴릭/카프릭트라이글리세라이드,아이리쉬모스추출물,사탕수추출물,올리브오일,라벤더오일,구주소나무잎오일,일랑일랑꽃오일,오렌지껍질오일,로즈마리잎오일,티트리잎오일,센티드제라늄꽃오일,산소,잇꽃씨오일,멕시칸치아씨오일,베타인,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,글리세릴스테아레이트,트로메타민,스테아레스-20,다이페닐다이메티콘,트라이에틸헥사노인,에틸헥실글리세린,아데노신,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,하이드로제네이티드레시틴,세라마이드엔피,마데카소사이드,다이리놀레익애씨드,리놀레닉애씨드,매스틱검,폴리글리세릴-10올리에이트,수크로오스팔미테이트,잔탄검,다이소듐이디티에이,페네틸알코올,리모넨,리날룰,",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013983606ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139836&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
68,그라펜 제주 해수 올인원 로션 200ml,200.0,22000.0,110.0,"정제수,부틸렌글라이콜,글리세린,1&2-헥산다이올,나이아신아마이드,아이소도데케인,카프릴릭/카프릭트라이글리세라이드,해수,베타인,옥틸도데세스-16,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,카보머,트로메타민,솔비탄아이소스테아레이트,아데노신,알란토인,치자추출물,달맞이꽃추출물,대왕송잎추출물,당느릅나무뿌리추출물,칡뿌리추출물,말토덱스트린,병풀추출물,판테놀,잔탄검,마트리카리아추출물,아세틸헥사펩타이드-8,글루코오스,소듐하이알루로네이트,아이리쉬모스추출물,티트리잎추출물,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드소듐하이알루로네이트,포타슘하이알루로네이트,다이소듐이디티에이,에틸헥실글리세린,카프릴릴글라이콜,향료",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015413823ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154138&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
69,BRTC 파워 옴므 올인원 솔루션 더블 기획,400.0,50400.0,126.0,"정제수,부틸렌글라이콜,글리세린,에탄올,나이아신아마이드,비스-피이지-18메칠에텔디메칠실란,메칠메타크릴레이트크로스폴리머,베타인,알지닌,카보머,페녹시에탄올,페닐트리메치콘,향료,에칠헥실글리세린,피이지-60하이드로제네이티드캐스터오일,트리데세스-10,알란토인,녹차추출물,아데노신,락토바실러스/쌀발효물,포공영추출물,1&2-헥산다이올,디소듐이디티에이,프로판디올,감나무잎추출물,포도추출물,보리지추출물,캐모마일꽃/잎추출물,라벤더수,히아신스추출물,클라리추출물,수레국화꽃추출물,카프릴릭/카프릭트리글리세라이드,커피추출물,홍화추출물,호장근추출물,밤껍질추출물,산초나무잎추출물,소듐하이알루로네이트,호호바씨오일,하이드로제네이티드레시틴,헥실라우레이트,벤질알코올,카바잎/뿌리/줄기추출물,화이트윌로우껍질수,세테아릴알코올,스테아릭애씨드,글라이코스핑고리피드,세라마이드엔피,스피룰리나추출물,클로렐라추출물,갈로일노나펩타이드-11,갈로일트라이펩타이드-48,니코티노일에스에이치-펜타펩타이드-19",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015419907ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154199&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
70,안나플러스 4GF 남자 스킨로션 올인원 120ml,120.0,23900.0,199.17,"정제수,부틸렌글라이콜,다이프로필렌글라이콜,나이아신아마이드,세테아릴알코올,카프릴릭/카프릭/라우릭트라이글리세라이드,세틸에틸헥사노에이트,스쿠알란,1&2-헥산다이올,사이클로헥사실록세인,하이드록시아세토페논,글리세릴스테아레이트,솔비탄스테아레이트,팔미틱애씨드,스테아릭애씨드,라우릭애씨드,미리스틱애씨드,향료,세테아릴글루코사이드,글리세린,세라마이드엔피,마트리카리아꽃/잎추출물,커먼자스민꽃추출물,살비아잎추출물,페퍼민트잎추출물,메도우폼씨오일,마카다미아씨오일,올리브오일,하이드롤라이즈드콜라겐,병풀추출물,비피다발효용해물,에스에이치-올리고펩타이드-1,에스에이치-올리고펩타이드-2,에스에이치-폴리펩타이드-1,에스에이치-폴리펩타이드-2,하이드로제네이티드레시틴,글루코오스,알지닌,아크릴레이트/c10-30알킬아크릴레이트크로스폴리머,다이포타슘글리시리제이트,아데노신,다이소듐이디티에이,카프릴릴글라이콜,트로폴론,카프릴하이드록사믹애씨드",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015627401ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156274&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
71,헤지스 맨 룰429 시카 비타맨 스킨 클리어 올인원,200.0,32000.0,160.0,"정제수,글리세린,부틸렌글라이콜,네오펜틸글라이콜다이카프레이트,1&2-헥산다이올,나이아신아마이드,아스코빅애씨드,레티닐팔미테이트,판테놀,비타민나무수,비타민나무추출물,비타민나무열매추출물,병풀추출물,당근추출물,포도추출물,라즈베리수,로우스위트블루베리추출물,히비스커스꽃추출물,카멜그라스추출물,오레가노잎추출물,알바수련꽃추출물,복사나무꽃추출물,호호바씨오일,퀸즈랜드넛오일,시어버터,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,아이비고드열매추출물,알로에베라꽃추출물,가지열매추출물,홀리바질잎추출물,참산호말추출물,울금뿌리추출물,펜틸렌글라이콜,트로메타민,알란토인,소듐피씨에이,다이포타슘글리시리제이트,에틸헥실글리세린,아데노신,토코페롤,아스코빌테트라이소팔미테이트,소듐파이테이트,카프릴릭/카프릭트라이글리세라이드,다이프로필렌글라이콜,소듐팔미토일프롤린,베헤닐알코올,카보머,향료,리모넨,리날룰,벤질벤조에이트,시트랄,헥실신남알",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015725816ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157258&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
72,랩시리즈 올-인-원 훼이스 트리트먼트 50ml,50.0,44000.0,880.0,"정제수,부틸렌글라이콜,스쿠알란,프로필렌글라이콜디카프릴레이트/디카프레이트,글리세릴스테아레이트에스이,메칠메타크릴레이트크로스폴리머,하이드로제네이티드레시틴,옥틸도데실네오펜타노에이트,나일론-12,슈크로오스,갈고리가시우무추출물,겔리디엘라아세로사추출물,희첨추출물,호장근추출물,슈가켈프추출물,포도씨추출물,로즈마리추출물,호프추출물,탄제린껍질추출물,석류즙,에칠비스이미노메칠구아이아콜망가니스클로라이드,아세틸글루코사민,아세틸헥사펩타이드-8,리놀레닉애씨드,소듐하이알루로네이트,디메치콘,카페인,리놀레익애씨드,글리세린,효모추출물,폴리아크릴아마이드,C13-14이소파라핀,포타슘스테아레이트,라우레스-7,노르디하이드로구아이아레틱애씨드,사이클로덱스트린,p-아니식애씨드,향료,디소듐이디티에이,페녹시에탄올",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015811327ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158113&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
73,엠도씨 멘진 올인원 드로즈 기획,150.0,37000.0,246.67,"정제수,글리세린,부틸렌글라이콜,다이프로필렌글라이콜,나이아신아마이드,1&2-헥산다이올,피이지-40하이드로제네이티드캐스터오일,소듐폴리아크릴레이트,다이메티콘,아이소헥사데칸,폴리메틸실세스퀴옥세인,시어버터,카프릴릭/카프릭트라이글리세라이드,올리브오일,하이드로제네이티드레시틴,스쿠알란,에틸헥실글리세린,알란토인,아데노신,세테아릴메티콘,피이지-40스테아레이트,스테아레스-2,스테아레스-21,세라마이드엔피,콜레스테롤,록샘파이어캘러스배양여과물,씨사이드에링고캘러스배양여과물,슈도알테로모나스발효추출물,피토스핑고신,클로렐라불가리스추출물,청각추출물,블래더랙추출물,겔리듐카르틸라기네움추출물,톳추출물,라미나리아클로우스토니추출물,다시마추출물,자이언트켈프추출물,스피룰리나막시마추출물,참갈파래추출물,다이소듐이디티에이,향료,리모넨,리날룰",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015936606ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159366&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
74,AHC 온리포맨 올인원 에센스 더블 기획,240.0,38000.0,158.33,"정제수,글리세린,메틸프로판다이올,1&2-헥산다이올,나이아신아마이드,다이메티콘,카바카바잎/뿌리/줄기추출물,참마뿌리추출물,녹차추출물,검정콩추출물,마트리카리아꽃/잎추출물,서양산딸기추출물,병풀추출물,락토바실러스/콩발효추출물,약모밀추출물,원지뿌리추출물,도라지뿌리추출물,흰목이버섯추출물,은행나무잎추출물,동백나무잎추출물,로켓잎추출물,밀싹추출물,브로콜리싹추출물,자주개자리추출물,검은깨추출물,율무씨추출물,흑미추출물,콘민트잎추출물,파스향나무잎추출물,스페인감초뿌리추출물,작약뿌리추출물,천궁뿌리추출물,칡뿌리추출물,쇠비름추출물,수용성콜라겐,수레국화꽃수,푸른연꽃수,하이드로제네이티드레시틴,소듐하이알루로네이트,알로에베라잎즙,효모발효여과물,다이메티콘/비닐다이메티콘크로스폴리머,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,다이페닐다이메티콘,트라이에틸헥사노인,부틸렌글라이콜,시어버터,글라이코실트레할로오스,폴리글리세릴-10미리스테이트,폴리글리세릴-10올리에이트,하이드로제네이티드스타치하이드롤리세이트,라피노오스,아데노신,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,실리카,다이소듐이디티에이,트로메타민,레시틴,크레아틴,하이드롤라이즈드루핀단백질,하이드롤라이즈드하이알루로닉애씨드,폴리쿼터늄-51,시트릭애씨드,바이오사카라이드검-1,잔탄검,소르빅애씨드,향료,에틸헥실글리세린,페녹시에탄올",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014921107ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149211&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
75,입큰맨 파워액티브 올인원 아크네 120ml+50ml 기획,170.0,25000.0,147.06,"정제수,글리세린,부틸렌글라이콜,C13-16아이소파라핀,C12-14아이소파라핀,1&2-헥산다이올,소목껍질추출물,일본목련나무껍질추출물,가자열매추출물,병풀잎추출물,달맞이꽃추출물,대왕송잎추출물,칡뿌리추출물,당느릅나무뿌리추출물,하이드로제네이티드폴리데센,펜틸렌글라이콜,비닐다이메티콘,카프릴릴메티콘,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,판테놀,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,폴리메틸실세스퀴옥세인,다이메티콘올,트로메타민,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,에틸헥실글리세린,마데카소사이드,아시아티코사이드,토코페롤,다이소듐이디티에이,",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013983706ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139837&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
