,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
257,코스알엑스 에이씨컬렉션 카밍 리퀴드 마일드 125ml,125,22000,176,"녹차수,부틸렌글라이콜,다이메틸설폰,베타인,1&2-헥산다이올,베타인살리실레이트,글루코노락톤,폴리글리세릴-10라우레이트,폴리글리세릴-10미리스테이트,글리세린,판테놀,알란토인,알지닌,소듐하이알루로네이트,티트리잎오일,아시아티코사이드,아시아틱애씨드,마데카식애씨드,리모넨",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015152401ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151524&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
258,생블랑쉬 퓨어토너 300ml,300,32000,106.67,"정제수,세틸에틸헥사노에이트,카프릴릭/카프릭트라이글리세라이드,부틸렌글라이콜,1&2-헥산다이올,스쿠알란,글리세린,소듐클로라이드,하이드록시아세토페논,잔탄검,다이소듐이디티에이,향료,소듐시트레이트,소듐하이알루로네이트,하이드롤라이즈드콜라겐,백미꽃추출물,하이드록시프로필트라이모늄하이알루로네이트,에틸헥실글리세린,하이드로제네이티드레시틴,소듐아세틸레이티드하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,글루코오스,하이드록시프로필메틸셀룰로오스,알지닌,글루타티온,시트릭애씨드,칼슘카보네이트,하이알루로닉애씨드,아스코빅애씨드,아세틸글루코사민,올리고펩타이드-32,올리고펩타이드-29,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드소듐하이알루로네이트,포타슘하이알루로네이트,팔미토일펜타펩타이드-4,",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015189001ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151890&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
259,더랩바이블랑두 저분자 히알루론산 토너,600,34000,56.67,"정제수,부틸렌글라이콜,1&2-헥산다이올,글리세린,소듐하이알루로네이트,하이알루로닉애씨드,동백나무잎추출물,베타-글루칸,다이소듐이디티에이,알란토인,접시꽃추출물,토코페롤,판테놀,에틸헥실글리세린",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015195107ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151951&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
260,아크네스 세범 밸런싱 스킨 200ml,200,15000,75,"세범밸런싱스킨2.0:정제수,메틸프로판다이올,1&2-헥산다이올,부틸렌글라이콜,글리세레스-26,실리카,판테놀,칼라민,다이소듐이디티에이,시트릭애씨드,소듐하이알루로네이트,레시틴,글리세린,프로판다이올,소듐하이알루로네이트크로스폴리머,스쿠알란,퀸즈랜드넛오일,티트리잎추출물,펜틸렌글라이콜,병풀추출물,알루미늄수크로오스옥타설페이트,유채스테롤,콜레스테롤,폴리글리세릴-10올리에이트,피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트,하이드롤라이즈드글라이코사미노글리칸,소듐서팩틴,셀룰로오스,약모밀추출물,벤질글라이콜,하이드로제네이티드레시틴,하이드롤라이즈드하이알루로닉애씨드,소듐하이드록사이드,토코페롤,에틸헥실글리세린,징크옥사이드,하이알루로닉애씨드,라즈베리케톤",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015081511ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150815&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
261,오우썸 수딩앤딥모이스처라이징 카렌듈라 토너 200ml,200,27000,135,"포트마리골드꽃수,포트마리골드꽃추출물,포트마리골드꽃,베타인,글리세린,서양민들레추출물,옐로우체이스트위드추출물,마시멜로뿌리추출물,올리브나무잎추출물,구아바잎추출물,사탕무잎추출물,모과추출물,쑥잎추출물,뉴질랜드삼꽃추출물,바다포도추출물,살구씨아미노산,구아검,황금추출물,모란뿌리추출물,스페인감초뿌리추출물,솔비탄올리에이트,베리가모토오일,다마스크장미꽃오일,와일드제라늄오일,마조람꽃오일,시트랄,제라니올,리날룰,시트로넬올,리모넨",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014923102ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149231&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
262,하다라보 고쿠쥰 프리미엄 로션 170ml,170,20000,117.65,"정제수,부틸렌글라이콜,하이드록시에틸우레아,펜틸렌글라이콜,피피지-10메틸글루코오스에터,다이프로필렌글라이콜,다이글리세린,트라이에틸시트레이트,피이지-32,락토코쿠스/하이알루로닉애씨드발효여과물,소듐하이알루로네이트,소듐아세틸레이티드하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,하이드록시프로필트라이모늄하이알루로네이트,소듐하이알루로네이트크로스폴리머,아파노테케사크룸엑소폴리사카라이즈,카보머,피이지-75.페녹시에탄올,글라이코실트레할로오스,다이소듐석시네이트,솔비톨,프로판다이올,하이드로제네이티드스타치하이드롤리세이트,다이에톡시에틸석시네이트,포타슘하이드록사이드,석시닉애씨드,다이소듐이디티에이,폴리쿼터늄-51,카프릴하이드록사믹애씨드,하이드록시에틸셀룰로오스,잔탄검",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014626208ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146262&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
263,브링그린 대나무 히알루 수분 토너 250ml,250,23000,92,"왕대수액,정제수,부틸렌글라이콜,글리세린,1&2-헥산다이올,소듐하이알루로네이트,접시꽃추출물,왕대추출물,판테놀,에틸헥실글리세린,알란토인,베타-글루칸,토코페롤,잔탄검,다이소듐이디티에이",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014700201ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147002&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
264,아누아 어성초 77% 토너 350ml,350,13000,37.14,"약모밀추출물,정제수,1&2-헥산다이올,글리세린,베타인,병풀추출물,체이스트트리추출물,우엉뿌리추출물,진흙버섯추출물,쇠비름추출물,포도추출물,사과추출물,사탕수수추출물,판테놀,마트리카리아꽃추출물,소듐하이알루로네이트,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,메틸프로판다이올,부틸렌글라이콜,아이소펜틸다이올,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,다이소듐이디티에이",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015246512ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152465&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
265,AHC 온리 포맨 토너 150ml,150,30500,203.33,"정제수,글리세레스-26,부틸렌글라이콜,나이아신아마이드,상황버섯추출물,우엉추출물,카바잎/뿌리/줄기추출물,마치현추출물,칡뿌리추출물,감초추출물,작약추출물,천궁추출물,녹차추출물,검정콩추출물,베르가못잎추출물,블랙베리추출물,쌀추출물,참깨추출물,원지추출물,길경추출물,병풀추출물,빌베리열매/잎추출물,은행잎추출물,동백나무잎추출물,로케트잎추출물,밀싹추출물,브로콜리싹추출물,자주개자리잎추출물,사탕수수추출물,캐모마일꽃/잎추출물,레몬추출물,오렌지추출물,설탕단풍추출물,박하잎추출물,수용성콜라겐,알로에베라잎즙,소듐하이알루로네이트,수레국화꽃수,푸른연꽃수,하이드로제네이티드레시틴,글리세린,1&2-헥산다이올,베타인,비스-피이지-18메칠에텔디메칠실란,코세스-7,피이지-40하이드로제네이티드캐스터오일,피피지-1-피이지-9라우릴글라이콜에텔,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,에칠헥실글리세린,트레할로스,트로메타민,알란토인,잔탄검,아데노신,소듐폴리아크릴레이트,피브이엠/엠에이코폴리머,크레아틴,향료,페녹시에탄올",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014733908ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147339&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
266,브링그린 사철쑥 카밍 밸런스 토너 510ml,510,25000,49.02,"사철쑥추출물,정제수,글리세린,프로판다이올,1&2-헥산다이올,부틸렌글라이콜,아이리쉬모스추출물,사탕수수추출물,베르가모트오일,센티드제라늄꽃오일,카카오씨추출물,병풀추출물,살비아오일,광곽향오일,쑥잎수,양배추추출물,브로콜리추출물,오크라열매추출물,시금치추출물,병풀잎추출물,쇠비름추출물,카멜그라스추출물,펜틸렌글라이콜,다이에톡시에틸석시네이트,콜레스-24,판테놀,카프릴릴글라이콜,에틸헥실글리세린,트로메타민,덱스트린,마데카소사이드,아시아티코사이드,아시아틱애씨드,마데카식애씨드,카보머,잔탄검,다이소듐이디티에이,리모넨,시트로넬올,리날룰,제라니올",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014766002ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147660&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
